OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,aoverlapDist,aoverlapTime,boverlapDist,boverlapTime,aBeforeDist,aBeforeTime,aAfterDist,aAfterTime,bBeforeDist,bBeforeTime,bAfterDist,bAfterTime
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,13.0,5.348,13.0,5.348,13.0,5.348,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,13.0,5.868,14.666666666666666,3.498,8.4,3.941,9.633333333333333,1.382,3.6666666666666665,0.468,0.9666666666666667,0.789,1.6166666666666667,1.136,3.4
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,13.016666666666667,6.116,16.183333333333334,3.93,9.516666666666667,3.98,9.866666666666667,0.595,1.9333333333333333,0.824,1.5666666666666667,0.808,3.466666666666667,1.33,2.8
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,13.016666666666667,6.366,15.4,0.994,2.75,1.02,2.783333333333333,3.528,8.65,0.824,1.5666666666666667,4.892,10.883333333333333,0.452,1.6666666666666667
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,13.016666666666667,10.556,24.616666666666667,0.475,1.0833333333333333,0.698,2.0166666666666666,3.08,7.666666666666667,1.79,4.266666666666667,9.857,22.533333333333335,0.0,0.0
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,14.666666666666666,6.116,16.183333333333334,3.314,8.45,3.297,8.15,0.789,1.6166666666666667,1.765,4.583333333333333,1.491,5.25,1.33,2.8
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.4,10.556,24.616666666666667,4.97,11.183333333333334,4.758,9.983333333333333,0.0,0.0,1.396,4.233333333333333,5.222,12.916666666666666,0.575,1.7166666666666666
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",0.0,0.0,15.179,20.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letter,"5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
"5.3532536,-4.0263832",,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
"5.3532536,-4.0263832",5.3532536,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"999,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
