OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,aoverlapDist,aoverlapTime,boverlapDist,boverlapTime,aBeforeDist,aBeforeTime,aAfterDist,aAfterTime,bBeforeDist,bBeforeTime,bAfterDist,bAfterTime
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,13.0,5.348,13.0,5.348,13.016666666666667,5.348,13.016666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,13.0,5.868,14.666666666666666,4.0,9.483333333333333,3.998,9.85,1.186,3.1666666666666665,0.163,0.36666666666666664,0.746,1.45,1.122,3.3666666666666667
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,13.016666666666667,6.116,16.183333333333334,4.062,9.933333333333334,4.063,10.3,0.496,1.6166666666666667,0.79,1.4666666666666666,0.761,3.183333333333333,1.294,2.683333333333333
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,13.016666666666667,6.366,15.4,1.111,3.05,1.111,3.1166666666666667,3.426,8.433333333333334,0.811,1.5333333333333334,4.814,10.666666666666666,0.441,1.6333333333333333
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,13.016666666666667,10.556,24.616666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,14.666666666666666,6.116,16.183333333333334,3.371,8.666666666666666,3.372,8.35,0.747,1.4666666666666666,1.75,4.55,1.452,5.15,1.294,2.683333333333333
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.4,10.556,24.616666666666667,5.021,11.283333333333333,4.784,10.066666666666666,0.0,0.0,1.345,4.116666666666666,5.204,12.85,0.568,1.7
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",0.0,0.0,15.179,20.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letter,"5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
"5.3532536,-4.0263832",,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
"5.3532536,-4.0263832",5.3532536,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"999,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,,,
