OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,overlapDist,overlapTime,aBeforeDist,aBeforeTime,bBeforeDist,bBeforeTime,aAfterDist,aAfterTime,bAfterDist,bAfterTime
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,13.0,5.348,13.0,5.348,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,13.0,5.868,14.666666666666666,3.01,7.4,1.446,3.8,1.006,2.3833333333333333,0.892,1.8,1.852,4.866666666666666
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,13.016666666666667,6.116,16.183333333333334,3.857,9.233333333333333,0.595,1.9333333333333333,0.86,3.9,0.896,1.8166666666666667,1.399,3.0166666666666666
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,13.016666666666667,6.366,15.4,0.872,2.066666666666667,3.555,8.75,4.943,11.116666666666667,0.917,1.9833333333333334,0.547,2.0166666666666666
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,13.016666666666667,10.556,24.616666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,14.666666666666666,6.116,16.183333333333334,2.985,7.016666666666667,1.006,2.3833333333333333,1.711,5.783333333333333,1.877,5.066666666666666,1.42,3.183333333333333
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.4,10.556,24.616666666666667,4.559,9.3,0.355,1.6166666666666667,5.322,13.366666666666667,1.449,4.366666666666666,0.674,1.9166666666666667
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",0.0,0.0,15.179,20.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.179,20.55
letter,"5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
"5.3532536,-4.0263832",,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
"5.3532536,-4.0263832",5.3532536,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"999,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
