Feedback ID,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
1,14,Operations,Positive,"Although the system is old, it’s well-documented and reliable; however, at times I feel a subtle frustration when unexpected lags occur, reminding me that even proven systems can cause occasional annoyance."
2,15,Operations,Positive,"The step-by-step training guides for warehouse management are very helpful. They spark excitement when I learn something new, yet sometimes I find myself confused by over-detailed instructions, evoking a mix of hope and mild irritation."
3,6,Operations,Negative,"Training sessions on inventory management software are poorly paced and lack clarity. I often felt lost and frustrated, with moments of deep confusion that undermine confidence in the process."
4,6,Operations,Negative,"The VPN connection is unreliable and slows down my work, leaving me with an ever-present irritation and anxiety about data security. The unpredictable performance makes every connection a stressful gamble."
5,3,Finance,Positive,"Whenever I need help, I get a prompt response that brings relief and occasional joy; however, there are brief moments of worry when the system’s response time falters, leaving a subtle sense of unease."
6,9,Customer Support,Positive,"The email filtering system does a great job at blocking spam, and it often brings satisfaction and even occasional delight. Yet, every now and then it misclassifies important messages, causing a brief flash of confusion and annoyance."
7,2,HR,Negative,"The HR software training felt rushed and left too many gaps, sparking real confusion and mounting frustration. The disorganized approach makes it hard to stay engaged and hopeful."
8,1,IT,Positive,"The IT onboarding training was very comprehensive and welcoming. I felt supported and occasionally joyful, though the brisk pace sometimes left me wishing for a bit more time to absorb complex information."
9,8,Sales,Negative,"The sales analytics platform is overly complex, generating moments of bewilderment and subtle irritation. Despite brief flashes of insight, I often leave sessions feeling both daunted and disappointed."
10,5,Operations,Positive,"Support has been really helpful, and when issues are resolved quickly it instills trust and a warm sense of gratitude, though occasional delays inject a hint of uncertainty and mild frustration."
11,13,Sales,Negative,"We are falling behind competitors because our systems are outdated. This fuels a mix of anxiety, disappointment, and a lingering concern that no matter the training, innovation is stifled."
12,5,Operations,Negative,"Inventory management is deeply frustrating due to clunky interfaces and confusing updates, evoking frequent irritation and a sense of helplessness, with only fleeting moments of relief."
13,13,IT,Positive,"The self-paced learning options for coding are outstanding and often fill me with excitement and empowerment, even though isolated moments of doubt and solitude sometimes creep in."
14,9,Legal,Positive,"Although some tools are old, they reliably meet compliance standards. This brings a steady sense of security and quiet optimism, tempered by a slight irritation over the absence of modern features."
15,4,Marketing,Negative,"We are still using outdated CRM software that complicates our workflow, triggering recurring bouts of confusion and frustration. The system’s limitations keep me in a state of resigned disappointment."
16,7,Customer Support,Negative,"The ticketing system is clunky and slow, making it hard to track issues and causing mounting irritation and a sense of being undervalued. Each interaction is a small battle against inefficiency."
17,2,HR,Negative,"The password change policy is overly frequent, generating repetitive annoyances and a persistent undercurrent of stress that disrupts my daily workflow."
18,7,Legal,Positive,"I appreciate the strict compliance with data security, which creates a solid sense of protection and respect; however, the rigidity occasionally results in bureaucratic hurdles that are mildly frustrating."
19,8,Sales,Negative,"Too many security pop-ups and warnings interrupt my work, leaving me feeling continuously disrupted and a bit anxious, even though I understand their importance."
