CropCode,TillMon_First,TillDay_First,TillMon_Last,TillDay_Last,TillCode
1,-1,-1,-1,-1,35
1,-30,-30,-30,-30,86
5,-1,-1,-1,-1,62
5,-30,-30,-30,-30,108
12,5,17,5,31,108
12,10,17,11,15,108
19,-1,-1,-1,-1,62
19,-30,-30,-30,-30,86
26,-1,-1,-1,-1,35
26,-30,-30,-30,-30,86
27,-1,-1,-1,-1,62
27,-30,-30,-30,-30,86
28,-1,-1,-1,-1,62
28,5,17,5,31,108
30,-1,-1,-1,-1,62
30,-30,-30,-30,-30,86
31,-1,-1,-1,-1,62
31,-30,-30,-30,-30,86
32,-1,-1,-1,-1,62
32,-30,-30,-30,-30,86
34,-1,-1,-1,-1,59
34,-30,-30,-30,-30,108
52,-1,-1,-1,-1,62
52,-30,-30,-30,-30,108
56,-1,-1,-1,-1,46
56,-30,-30,-30,-30,86
60,-1,-1,-1,-1,46
60,-30,-30,-30,-30,86
63,-1,-1,-1,-1,46
63,-30,-30,-30,-30,86
65,-1,-1,-1,-1,46
65,-30,-30,-30,-30,86
70,-1,-1,-1,-1,35
70,-30,-30,-30,-30,86
74,-1,-1,-1,-1,46
74,-30,-30,-30,-30,86
76,-1,-1,-1,-1,59
76,-30,-30,-30,-30,86
84,-1,-1,-1,-1,59
84,-30,-30,-30,-30,86
92,-1,-1,-1,-1,35
92,-30,-30,-30,-30,86
