1) 2knor = 3en + 2esk (Turkin et al., 1983)
ln_K(low) ln_K(high) x(CO2) P(low) P(high) T(low) T(high)
-0.32 -0.32 0.0 90.0 80.0 1200 1200
-0.32 -0.32 0.0 80.0 70.0 1600 1600

2) knor + fo = picr + 2en (Klemme 2004)
ln_K(low) ln_K(high) x(CO2) P(low) P(high) T(low) T(high)
0.0 0.0 0.0 90.0 77.0 1200 1200
0.0 0.0 0.0 80.0 64.0 1400 1400
0.0 0.0 0.0 70.0 55.0 1600 1600

3) 2kos + sp = 2jd + picr (Carroll Webb & Wood 1986)
ln_K(low) ln_K(high) x(CO2) P(low) P(high) T(low) T(high)
2.16 1.34 0.0 25.0 25.0 1100 1100
2.18 1.46 0.0 25.0 25.0 1100 1100
2.34 1.77 0.0 25.0 25.0 1100 1100
2.19 1.57 0.0 25.0 25.0 1100 1100
2.53 1.95 0.0 25.0 25.0 1100 1100
2.03 1.51 0.0 25.0 25.0 1100 1100

4) lot = tro (fix)
ln_K(low) ln_K(high) x(CO2) P(low) P(high) T(low) T(high)
0.0 0.0 0.0 0.0 0.0 139 149

5) 16trov = 14trot + S2 (Rau 1976)
ln_K(low) ln_K(high) x(CO2) P(low) P(high) T(low) T(high)
-7.05 -7.05 0.0 0.1 0.1 1101 1101
-8.16 -8.16 0.0 0.1 0.1 1101 1101
-6.92 -6.92 0.0 0.0 0.0 1101 1101
-8.02 -8.02 0.0 0.0 0.0 1101 1101
-6.58 -6.58 0.0 0.0 0.0 1101 1101
-7.65 -7.65 0.0 0.0 0.0 1101 1101
-6.09 -6.09 0.0 0.0 0.0 1101 1101
-7.13 -7.13 0.0 0.0 0.0 1101 1101
-5.27 -5.27 0.0 0.0 0.0 1101 1101
-6.25 -6.25 0.0 0.0 0.0 1101 1101
-4.47 -4.47 0.0 0.0 0.0 1101 1101
-5.40 -5.40 0.0 0.0 0.0 1101 1101
-3.69 -3.69 0.0 0.0 0.0 1101 1101
-4.56 -4.56 0.0 0.0 0.0 1101 1101
-2.99 -2.99 0.0 0.0 0.0 1101 1101
-3.81 -3.81 0.0 0.0 0.0 1101 1101
-2.99 -2.99 0.0 0.0 0.0 1101 1101
-3.81 -3.81 0.0 0.0 0.0 1101 1101
-2.62 -2.62 0.0 0.0 0.0 1101 1101
-3.42 -3.42 0.0 0.0 0.0 1101 1101
-1.87 -1.87 0.0 0.0 0.0 1101 1101
-2.61 -2.61 0.0 0.0 0.0 1101 1101
3.81 3.81 0.0 0.0 0.0 1101 1101
3.42 3.42 0.0 0.0 0.0 1101 1101
4.57 4.57 0.0 0.0 0.0 1101 1101
4.21 4.21 0.0 0.0 0.0 1101 1101
-7.75 -7.75 0.0 0.0 0.0 1036 1036
-8.93 -8.93 0.0 0.0 0.0 1036 1036
-7.54 -7.54 0.0 0.0 0.0 1036 1036
-8.71 -8.71 0.0 0.0 0.0 1036 1036
-7.12 -7.12 0.0 0.0 0.0 1036 1036
-8.26 -8.26 0.0 0.0 0.0 1036 1036
-6.54 -6.54 0.0 0.0 0.0 1036 1036
-7.64 -7.64 0.0 0.0 0.0 1036 1036
-5.56 -5.56 0.0 0.0 0.0 1036 1036
-6.59 -6.59 0.0 0.0 0.0 1036 1036
-4.68 -4.68 0.0 0.0 0.0 1036 1036
-5.64 -5.64 0.0 0.0 0.0 1036 1036
-3.83 -3.83 0.0 0.0 0.0 1036 1036
-4.74 -4.74 0.0 0.0 0.0 1036 1036
-3.84 -3.84 0.0 0.0 0.0 1036 1036
-4.75 -4.75 0.0 0.0 0.0 1036 1036
-3.09 -3.09 0.0 0.0 0.0 1036 1036
-3.94 -3.94 0.0 0.0 0.0 1036 1036
-3.13 -3.13 0.0 0.0 0.0 1036 1036
-3.99 -3.99 0.0 0.0 0.0 1036 1036
-2.73 -2.73 0.0 0.0 0.0 1036 1036
-3.55 -3.55 0.0 0.0 0.0 1036 1036
-1.93 -1.93 0.0 0.0 0.0 1036 1036
-2.70 -2.70 0.0 0.0 0.0 1036 1036
3.51 3.51 0.0 0.0 0.0 1036 1036
3.08 3.08 0.0 0.0 0.0 1036 1036
4.53 4.53 0.0 0.0 0.0 1036 1036
4.16 4.16 0.0 0.0 0.0 1036 1036
-8.33 -8.33 0.0 0.0 0.0 984 984
-9.58 -9.58 0.0 0.0 0.0 984 984
-7.59 -7.59 0.0 0.0 0.0 984 984
