OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,aoverlapDist,aoverlapTime,boverlapDist,boverlapTime
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,13.0,5.348,13.0,5.348,13.0,5.348,13.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,13.0,5.868,14.666666666666666,4.0,9.483333333333333,3.998,9.85
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,13.016666666666667,6.116,16.183333333333334,4.062,9.933333333333334,4.063,10.3
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,13.016666666666667,6.366,15.4,1.111,3.05,1.111,3.1166666666666667
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,13.016666666666667,10.556,24.616666666666667,0.0,0.0,0.0,0.0
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,14.666666666666666,6.116,16.183333333333334,3.371,8.666666666666666,3.372,8.35
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.4,10.556,24.616666666666667,5.021,11.283333333333333,4.784,10.066666666666666
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",0.0,0.0,15.179,20.55,0.0,0.0,0.0,0.0
letter,"5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,
"5.3532536,-4.0263832",,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,
"5.3532536,-4.0263832",5.3532536,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"999,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,
