name,value_type,Is_metric,description
account_currency,13,No,Currency that is used by your ad account.
account_id,14,No,"The ID number of your ad account, which groups your advertising activity. Your ad account includes your campaigns, ads and billing."
account_name,13,No,"The name of your ad account, which groups your advertising activity. Your ad account includes your campaigns, ads and billing."
action_values,15,Yes,The total value of all conversions attributed to your ads.
actions,15,Yes,"The total number of actions people took that are attributed to your ads. Actions may include engagement, clicks or conversions."
ad_click_actions,15,Yes,ad_click_actions
ad_id,14,No,The unique ID of the ad you're viewing in reporting.
ad_impression_actions,15,Yes,ad_impression_actions
ad_name,13,No,The name of the ad you're viewing in reporting.
adset_end,13,No,adset_start
adset_id,14,No,"The unique ID of the ad set you're viewing in reporting. An ad set is a group of ads that share the same budget, schedule, delivery optimization and targeting."
adset_name,13,No,"The name of the ad set you're viewing in reporting. An ad set is a group of ads that share the same budget, schedule, delivery optimization and targeting."
adset_start,13,No,adset_start
age_targeting,13,No,age_targeting
attribution_setting,13,No,"The default attribution window to be used when the attribution result is calculated. Each ad set has its own attribution setting value. The attribution setting for a campaign or an account is calculated based on existing ad sets. Returns mixed, indicating multiple attribution settings, skan, indicating SKAdNetwork attribution of iOS 14 app install campaigns, and na, indicating no ad set in a campaign or account. Both 1-day and 7-day click attribution settings will include iOS14.5 modeled conversions (from opted out users) which will provide a more accurate view of ad performance and enable our delivery systems to optimize based on more comprehensive data."
auction_bid,14,Yes,auction_bid
auction_competitiveness,14,Yes,auction_competitiveness
auction_max_competitor_bid,14,Yes,auction_max_competitor_bid
buying_type,13,No,"The method by which you pay for and target ads in your campaigns: through dynamic auction bidding, fixed-price bidding, or reach and frequency buying. This field is currently only visible at the campaign level."
campaign_id,14,No,The unique ID number of the ad campaign you're viewing in reporting. Your campaign contains ad sets and ads.
campaign_name,13,No,The name of the ad campaign you're viewing in reporting. Your campaign contains ad sets and ads.
canvas_avg_view_percent,14,Yes,"The average percentage of the Instant Experience that people saw. An Instant Experience is a screen that opens after someone interacts with your ad on a mobile device. It may include a series of interactive or multimedia components, including video, images product catalog and more."
canvas_avg_view_time,14,Yes,"The average total time, in seconds, that people spent viewing an Instant Experience. An Instant Experience is a screen that opens after someone interacts with your ad on a mobile device. It may include a series of interactive or multimedia components, including video, images product catalog and more."
catalog_segment_value,15,Yes,The total value of all conversions from your catalog segment attributed to your ads.
